,temperature_2m,dewpoint_temperature_2m,skin_temperature,surface_net_thermal_radiation_sum
2025-01-01,287.66058286031085,280.9913558959961,288.23525683085126,-5965392
2025-01-02,287.8181044260661,281.1865463256836,288.5386962890625,-7682836
2025-01-03,288.20218022664386,280.9259510040283,288.7523028055827,-7351240
2025-01-04,289.13526662190753,279.45984840393066,289.45191319783527,-6816516
2025-01-05,289.11058553059894,284.03569348653156,289.63685035705566,-5810979
2025-01-06,289.6110083262126,283.645565032959,290.02806282043457,-6782457
2025-01-07,289.2000217437744,282.73211733500165,289.78509012858075,-5891734
2025-01-08,288.8507932027181,281.45354715983075,289.3404731750488,-8254967
2025-01-09,288.8678156534831,280.05924288431805,289.16922696431476,-8454906
2025-01-10,287.3599103291829,282.26430320739746,287.448938369751,-6157518
2025-01-11,288.5634129842122,284.18573570251465,288.8184293111165,-5377160
2025-01-12,288.4539616902669,280.8004315694173,289.0039170583089,-7558900
2025-01-13,288.4728940327962,280.44775581359863,288.99759165445965,-7857170
2025-01-14,288.31703249613446,281.93154017130536,289.11901156107587,-7547634
2025-01-15,287.9044780731201,282.7386595408122,289.2468153635661,-5277763
2025-01-16,289.93547503153485,283.6768608093262,290.57912762959796,-6979327
2025-01-17,289.7262605031331,283.49807993570965,290.3170928955078,-6588566
2025-01-18,289.3526318868001,281.7707824707031,290.3415934244792,-7434492
2025-01-19,288.1468276977539,282.46657943725586,289.1611518859863,-7038842
2025-01-20,288.3958574930827,283.9228636423747,289.35189692179364,-6209032
2025-01-21,289.45784695943195,282.3929328918457,290.6454677581787,-6626380
2025-01-22,288.6601988474528,284.5975926717122,289.4695275624593,-6186168
2025-01-23,288.17614428202313,284.04383659362793,288.6191349029541,-6189344
2025-01-24,288.35998980204266,282.64623896280926,289.30568440755206,-6702788
2025-01-25,288.19218254089355,282.004633585612,289.0512415568034,-6829692
2025-01-26,287.5915997823079,282.3104826609294,288.2381649017334,-7006886
2025-01-27,288.125202814738,282.50889650980633,289.251797358195,-6107192
2025-01-28,288.80115509033203,280.73239453633624,289.5655008951823,-7128246
2025-01-29,289.25733311971027,279.7317434946696,290.02447001139325,-7518448
2025-01-30,289.33078066507977,282.4661242167155,290.63552474975586,-7851002
2025-01-31,288.0023562113444,281.4235375722249,288.92377916971844,-7500074
2025-02-01,288.6353581746419,281.4758466084798,289.6104278564453,-7084158
2025-02-02,288.84169069925946,281.4440218607585,289.8784370422363,-7221568
2025-02-03,289.371821085612,282.8409620920817,290.4942970275879,-6486390
2025-02-04,288.0363998413086,282.5792713165283,289.4433511098226,-6986606
2025-02-05,288.10644976298016,280.6553427378337,288.72299003601074,-5939086
2025-02-06,286.66128794352215,275.9364941914876,287.3078022003174,-3611585
2025-02-07,286.72389284769696,276.29968134562176,287.3636054992676,-3672305
2025-02-08,286.5901590983073,275.88199106852215,287.8479296366374,-5322157
2025-02-09,286.3655014038086,279.2056630452474,286.88424428304035,-5535677
2025-02-10,285.95629628499347,279.2690022786458,286.46180216471356,-6312070
2025-02-11,286.3317216237386,278.2566833496094,287.2758433024089,-7077419
2025-02-12,286.0856533050537,277.2139809926351,286.8365135192871,-7685469
2025-02-13,285.74354871114093,276.7498474121094,286.6739641825358,-7348456
2025-02-14,286.6795234680176,277.93779373168945,287.9453773498535,-8391466
2025-02-15,287.19199053446454,279.6217619578044,288.5890032450358,-8804052
2025-02-16,288.0104331970215,279.65344619750977,289.5960572560628,-8215142
2025-02-17,288.892817179362,277.0117022196452,289.56880950927734,-8506712
2025-02-18,288.5437526702881,279.32622655232746,289.89498074849445,-8322976
2025-02-19,288.14814949035645,282.65053304036456,288.94627571105957,-6167811
2025-02-20,287.69803110758465,279.977991104126,288.47241528828937,-5796503
2025-02-21,286.4482949574788,276.09857241312665,287.18517049153644,-4748290
